GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10384,L2M,196.0,1.0,877,83.5,1,1,73.9
120,10384,L2M,196.0,1.0,868,86.83333333333333,1,1,73.9
120,10384,L0R,196.0,5.0,905,90.5,5,1,58.645
120,10571,N0E,196.0,1.0,895,85.83333333333333,1,1,78.822
120,10231,L4G,196.0,4.0,880,86.66666666666667,4,1,119.227
120,10781,L6M,196.0,1.0,858,84.33333333333333,1,1,29.132
119,10434,L5B,196.0,2.0,898,86.33333333333333,2,1,49.865
120,10597,N6H,196.0,5.0,838,83.83333333333333,5,1,143.078
120,10911,L4M,196.0,1.0,947,93.66666666666667,1,1,154.139
120,11026,M9P,196.0,4.0,880,88.0,4,1,66.487
119,11135,L3R,196.0,3.0,885,88.5,3,1,101.274
120,10469,P1L,196.0,1.0,833,83.33333333333333,5,0,238.548
120,10245,L4L,196.0,2.0,925,91.5,2,1,79.825
119,11024,L9K,196.0,2.0,875,87.5,2,1,9.638
120,10781,L6M,196.0,4.0,867,84.33333333333333,4,1,29.132
120,10996,M8Z,196.0,3.0,903,90.33333333333333,3,1,56.791
120,10978,L9T,196.0,1.0,852,82.66666666666667,1,1,36.861
120,10990,K9K,196.0,1.0,902,89.66666666666667,1,1,201.097
119,11026,M6S,196.0,5.0,0,99.5,5,1,62.191
120,11015,L1P,196.0,2.0,853,83.66666666666667,2,1,122.728
120,10227,N6P,196.0,2.0,875,87.5,2,1,132.393
120,10318,L2S,196.0,2.0,923,91.33333333333333,2,1,72.9
120,10464,M1R,196.0,3.0,897,88.33333333333333,3,1,83.177
120,10429,L6H,196.0,1.0,895,88.16666666666667,1,1,35.959
120,11060,L4C,196.0,1.0,900,86.0,1,1,96.7
119,10719,M4P,196.0,1.0,913,90.0,1,1,81.336
120,10476,L9H,196.0,1.0,888,85.33333333333333,1,1,4.295
120,11241,L4N,196.0,1.0,922,91.33333333333333,5,0,149.33
119,11012,N3W,196.0,4.0,953,95.33333333333333,4,1,28.402
120,10329,L6P,196.0,3.0,858,85.83333333333333,3,1,77.8
120,11038,N6G,196.0,2.0,918,90.0,6,0,141.092
120,10834,N9K,196.0,2.0,905,88.16666666666667,2,1,292.8
120,10372,M9B,196.0,4.0,853,85.16666666666667,4,1,57.793
120,10554,L2G,196.0,2.0,882,86.83333333333333,2,1,89.965
120,11135,L6E,196.0,3.0,892,89.16666666666667,3,1,108.667
119,11203,,196.0,2.0,910,89.83333333333333,2,1,
119,10864,N0P,196.0,2.0,902,90.25,3,0,236.071
119,10673,L3C,196.0,1.0,930,91.5,1,1,89.2
120,10316,L4Z,196.0,2.0,897,88.33333333333333,2,1,50.891
119,10788,L8P,196.0,1.0,915,91.5,1,1,3.248
120,10275,N1R,196.0,12.0,855,90.0,12,1,37.191
120,10413,N3Y,196.0,1.0,877,87.33333333333333,1,1,82.324
120,10864,N0P,196.0,1.0,900,87.16666666666667,1,1,236.071
120,11020,L8E,196.0,1.0,862,82.83333333333333,1,1,34.328
120,11060,M2M,196.0,3.0,867,86.5,3,1,95.506
120,10561,L3C,196.0,2.0,858,85.83333333333333,2,1,89.2
120,10786,L4Z,196.0,2.0,877,85.33333333333333,2,1,50.891
120,10302,L6M,196.0,1.0,953,95.33333333333333,1,1,29.132
120,10372,M9C,196.0,7.0,893,89.33333333333333,7,1,57.272
120,10848,L7M,196.0,1.0,878,83.5,1,1,21.165
120,10831,K8P,196.0,2.0,887,83.83333333333333,2,1,253.935
119,11058,M5J,196.0,6.0,847,83.5,6,1,67.903
119,10268,N2N,196.0,1.0,867,86.16666666666667,1,1,70.053
119,11026,M8Z,196.0,2.0,895,88.33333333333333,2,1,56.791
119,10861,P3A,196.0,1.0,838,83.83333333333333,1,1,450.556
120,11200,L4N,196.0,1.0,850,83.5,2,0,149.33
120,10896,L1V,196.0,2.0,885,88.5,2,1,105.068
120,10254,M4S,196.0,2.0,867,86.5,2,1,79.974
120,10731,N2B,196.0,1.0,873,86.16666666666667,1,1,66.0
120,10585,N0B,196.0,3.0,868,86.83333333333333,3,1,65.281
120,10457,L6T,196.0,4.0,882,88.16666666666667,4,1,65.837
119,10792,N1R,196.0,3.0,932,86.33333333333333,3,1,37.191
120,10269,N3P,196.0,2.0,860,86.0,2,1,34.413
120,10917,N0G,196.0,5.0,870,87.0,5,1,136.481
120,10341,L5M,196.0,4.0,923,92.33333333333333,4,1,44.036
120,11043,L7G,196.0,1.0,857,85.16666666666667,1,1,58.494
120,11242,L0R,196.0,3.0,853,85.33333333333333,3,1,58.645
120,10247,M4G,196.0,5.0,937,92.33333333333333,5,1,79.543
120,10571,N0E,196.0,1.0,828,80.66666666666667,1,0,78.822
120,10571,N0E,196.0,2.0,817,81.66666666666667,2,0,78.822
120,10469,P1L,196.0,2.0,867,86.66666666666667,2,1,238.548
120,10451,N1T,196.0,3.0,885,88.0,3,1,48.217
120,10240,L0K,196.0,2.0,852,85.16666666666667,2,1,197.873
120,10372,M9B,196.0,2.0,900,86.33333333333333,2,1,57.793
119,10269,N3T,196.0,6.0,883,84.83333333333333,6,1,30.2
120,10301,L9T,196.0,3.0,850,85.0,3,1,36.861
120,10215,L8W,196.0,1.0,880,88.0,1,1,18.526
120,10759,N2Z,196.0,2.0,892,86.5,2,1,206.18
120,10722,N7S,196.0,1.0,868,86.83333333333333,1,1,221.344
119,10717,L6J,196.0,2.0,918,91.83333333333333,2,1,36.619
120,10738,L6H,196.0,2.0,885,88.5,2,1,35.959
120,11021,L9T,196.0,2.0,852,85.16666666666667,2,1,36.861
120,10649,L5M,196.0,2.0,900,88.0,2,1,44.036
119,10273,L5B,196.0,2.0,872,87.16666666666667,2,1,49.865
120,10706,M9V,196.0,1.0,895,83.83333333333333,1,1,68.4
120,11060,L0J,196.0,3.0,885,85.16666666666667,3,1,85.145
120,10702,L4M,196.0,2.0,867,86.66666666666667,2,1,154.139
120,10345,N1L,196.0,2.0,887,88.66666666666667,2,1,43.773
120,10721,L4T,196.0,5.0,902,85.0,5,1,70.8
119,10617,M1J,196.0,1.0,868,85.83333333333333,1,1,95.799
120,10638,N0E,196.0,3.0,832,82.83333333333333,1,0,78.822
120,10410,L5K,196.0,1.0,888,88.83333333333333,1,1,41.652
120,10802,M3A,196.0,3.0,813,81.33333333333333,3,0,84.442
120,10476,L9K,196.0,2.0,953,92.0,2,1,9.638
120,10617,M1E,196.0,2.0,872,87.16666666666667,2,1,100.32
119,10721,L6P,196.0,6.0,868,86.83333333333333,6,1,77.8
120,10947,M2K,196.0,3.0,850,85.0,3,1,80.391
120,10781,L6M,196.0,3.0,897,89.66666666666667,3,1,29.132
119,11099,M5M,196.0,3.0,858,84.33333333333333,3,1,77.704
119,10432,L3S,196.0,3.0,843,84.33333333333333,3,1,105.996
120,10239,L6A,196.0,1.0,873,84.5,1,1,93.662
120,10951,M1S,196.0,3.0,848,84.83333333333333,3,1,92.454
119,10503,N0E,196.0,3.0,838,83.83333333333333,2,0,78.822
120,10639,L5M,196.0,2.0,872,87.16666666666667,2,1,44.036
120,10436,L2V,196.0,1.0,935,93.5,1,1,80.7
120,11000,L3T,196.0,1.0,898,89.16666666666667,1,1,96.043
120,10930,L3X,196.0,1.0,837,83.66666666666667,1,1,117.408
120,10458,M2L,196.0,2.0,858,84.0,2,1,82.967
119,10400,L5A,196.0,1.0,908,88.33333333333333,1,1,49.237
120,10926,L5K,196.0,15.0,847,84.66666666666667,2,0,41.652
120,10601,M9C,196.0,2.0,877,86.33333333333333,2,1,57.272
120,10506,N8Y,196.0,2.0,903,88.66666666666667,2,1,302.631
119,10754,M6P,196.0,1.0,927,89.5,1,1,63.7
120,10543,L5A,196.0,1.0,888,88.5,1,1,49.237
119,11061,L7A,196.0,1.0,893,86.16666666666667,1,1,63.292
119,10230,N0B,196.0,3.0,892,89.16666666666667,3,1,65.281
119,10619,N2T,196.0,3.0,888,87.66666666666667,3,1,76.219
120,10881,P6B,196.0,1.0,903,83.66666666666667,1,1,739.287
119,11245,L8W,196.0,3.0,915,91.16666666666667,3,1,18.526
120,10316,L5R,196.0,1.0,875,87.5,1,1,50.5
120,10697,L6E,196.0,4.0,892,89.16666666666667,4,1,108.667
120,10893,N0B,196.0,2.0,883,88.33333333333333,2,1,65.281
119,10410,L7M,196.0,1.0,867,85.0,1,1,21.165
120,10649,L5V,196.0,2.0,912,91.16666666666667,2,1,48.809
120,10217,M9N,196.0,3.0,915,91.5,3,1,69.301
120,10916,L7T,196.0,1.0,892,88.5,1,1,13.14
119,10861,P3L,196.0,1.0,918,91.33333333333333,1,1,455.993
120,10674,L8J,196.0,1.0,930,93.0,1,1,27.328
119,10634,K1V,196.0,2.0,897,83.0,2,1,502.648
120,11020,L8K,196.0,3.0,852,85.16666666666667,3,1,12.637
120,10474,L6K,196.0,2.0,895,87.5,2,1,31.938
120,10344,L8S,196.0,8.0,882,88.16666666666667,8,1,0.836
120,10273,L5B,196.0,3.0,807,80.66666666666667,3,0,49.865
119,10818,L5W,196.0,3.0,853,85.33333333333333,3,1,58.552
120,10861,P3E,196.0,2.0,860,85.66666666666667,2,1,437.696
120,10554,L2G,196.0,1.0,902,88.5,1,1,89.965
120,10918,M9A,196.0,2.0,907,88.83333333333333,2,1,61.478
120,10215,L9B,196.0,4.0,820,82.0,1,0,14.672
120,10361,L1T,196.0,4.0,897,86.0,4,1,114.116
120,10731,L0R,196.0,1.0,910,89.0,1,1,58.645
120,10240,L4R,196.0,1.0,913,89.16666666666667,1,1,200.433
120,10402,K2K,196.0,2.0,872,85.5,2,1,454.886
119,10410,L5J,196.0,2.0,860,86.0,2,1,38.646
120,10742,L4N,196.0,2.0,900,90.0,2,1,149.33
120,11000,L4B,196.0,3.0,880,87.83333333333333,3,1,95.795
120,10578,L6C,196.0,1.0,842,81.16666666666667,4,0,101.898
120,10810,L6X,196.0,3.0,925,91.83333333333333,3,1,58.985
120,10272,L4W,196.0,4.0,847,84.66666666666667,4,1,54.851
120,10827,K7R,196.0,2.0,897,85.83333333333333,2,1,289.514
120,10515,L7R,196.0,1.0,925,89.33333333333333,6,0,17.022
120,10650,L5C,196.0,2.0,870,85.0,2,1,49.547
120,10243,L7A,196.0,3.0,872,87.0,3,1,63.292
120,11020,L8J,196.0,2.0,828,81.33333333333333,3,0,27.328
119,10978,M2H,196.0,3.0,880,85.16666666666667,3,1,86.654
120,10432,L3S,196.0,2.0,853,85.16666666666667,2,1,105.996
120,11061,L6V,196.0,2.0,923,91.0,2,1,69.392
120,10796,P0T,196.0,2.0,873,87.33333333333333,2,1,1293.874
120,10939,N5H,196.0,1.0,902,86.66666666666667,1,1,125.982
119,10758,K7K,196.0,2.0,897,89.33333333333333,2,1,326.986
120,10725,L5M,196.0,3.0,882,88.16666666666667,3,1,44.036
120,11180,M1P,196.0,2.0,808,80.83333333333333,1,0,91.207
120,11242,L9H,196.0,1.0,880,88.0,1,1,4.295
120,10813,L7L,196.0,5.0,885,86.5,5,1,21.04
120,10486,N4K,196.0,1.0,980,96.83333333333333,5,0,213.801
120,10413,N0A,196.0,1.0,892,89.16666666666667,1,1,44.386
120,10400,L5A,196.0,4.0,890,88.33333333333333,4,1,49.237
120,10849,K7S,196.0,1.0,877,87.66666666666667,3,0,463.334
120,10847,P0P,196.0,1.0,877,87.0,1,1,609.81
120,10706,M2R,196.0,9.0,917,87.16666666666667,1,0,79.906
120,10775,L0R,196.0,1.0,960,95.83333333333333,1,1,58.645
119,10692,L9H,196.0,1.0,965,94.16666666666667,1,1,4.295
120,10462,L5M,196.0,1.0,870,85.0,1,1,44.036
120,10301,L5M,196.0,1.0,930,91.83333333333333,1,1,44.036
120,10706,M3H,196.0,3.0,873,87.33333333333333,3,1,77.395
120,10228,L6L,196.0,1.0,918,89.33333333333333,1,1,26.523
120,10225,L6T,196.0,1.0,850,83.66666666666667,1,1,65.837
120,11099,M4A,196.0,4.0,943,92.5,4,1,112.0
119,10301,L5M,196.0,3.0,922,92.16666666666667,2,0,44.036
120,10697,L6E,196.0,3.0,882,86.83333333333333,3,1,108.667
119,10731,N3Y,196.0,2.0,912,91.16666666666667,2,1,82.324
120,10455,L1B,196.0,3.0,852,85.16666666666667,3,1,150.0
120,10650,L5A,196.0,2.0,855,83.66666666666667,2,1,49.237
120,10674,L8J,196.0,2.0,935,93.0,2,1,27.328
120,10410,L5L,196.0,1.0,847,84.66666666666667,1,1,43.375
120,11005,L4X,196.0,4.0,845,81.66666666666667,4,1,53.046
120,11041,L8M,196.0,3.0,835,83.5,3,1,8.245
119,10909,L4Z,196.0,2.0,893,94.0,3,0,50.891
120,10477,M1E,196.0,1.0,850,85.0,1,1,100.32
120,10706,M9V,196.0,4.0,955,86.66666666666667,4,1,68.4
120,10328,N1H,196.0,1.0,938,91.5,1,1,51.696
120,10341,L5M,196.0,3.0,928,92.83333333333333,3,1,44.036
120,11021,L9T,196.0,4.0,855,85.16666666666667,4,1,36.861
119,10909,L5L,196.0,1.0,860,94.0,1,1,43.375
120,10434,L5B,196.0,2.0,865,86.5,2,1,49.865
120,10672,L4B,196.0,5.0,875,84.83333333333333,5,1,95.795
120,10215,L9B,196.0,1.0,893,88.33333333333333,1,1,14.672
119,11180,M1P,196.0,4.0,825,80.66666666666667,1,0,91.207
120,10379,M2N,196.0,4.0,900,88.5,4,1,80.095
120,10765,N1H,196.0,1.0,895,86.16666666666667,1,1,51.696
120,10362,L1H,196.0,1.0,863,86.33333333333333,1,1,129.2
119,10731,L9G,196.0,1.0,932,91.5,1,1,15.182
120,10654,L1X,196.0,3.0,867,86.66666666666667,3,1,108.856
120,10916,L7T,196.0,1.0,858,83.0,2,0,13.14
120,10451,N0B,196.0,3.0,932,93.6,3,1,65.281
120,10455,L0A,196.0,2.0,910,90.16666666666667,2,1,182.823
119,10248,L7A,196.0,2.0,872,86.0,2,1,63.292
120,10851,L5H,196.0,4.0,840,82.66666666666667,4,1,46.357
119,11177,K8P,196.0,2.0,977,95.5,2,1,253.935
120,11059,L3M,196.0,1.0,888,88.83333333333333,1,1,44.362
119,11245,L8W,196.0,2.0,972,96.66666666666667,2,1,18.526
120,10318,L2W,196.0,1.0,962,96.16666666666667,1,1,68.607
120,10811,L4S,196.0,4.0,920,92.0,4,1,104.717
120,10781,L6M,196.0,2.0,920,91.0,4,0,29.132
120,11020,L8J,196.0,1.0,883,88.33333333333333,1,1,27.328
119,10754,M6P,196.0,1.0,850,83.16666666666667,1,1,63.7
119,10669,N0N,196.0,1.0,808,80.83333333333333,1,0,202.893
120,11094,L6M,196.0,1.0,855,85.16666666666667,1,1,29.132
119,10776,L1P,196.0,1.0,852,85.16666666666667,1,1,122.728
120,10452,N3W,196.0,3.0,875,84.66666666666667,3,1,28.402
120,10297,N0M,196.0,5.0,872,86.33333333333333,5,1,156.952
119,10761,K0L,196.0,2.0,973,96.66666666666667,2,1,274.237
119,11015,L1P,196.0,3.0,867,84.16666666666667,3,1,122.728
120,10602,L1R,196.0,1.0,878,85.0,1,1,137.638
120,11024,L9G,196.0,3.0,885,88.5,3,1,15.182
119,11194,L6C,196.0,1.0,967,94.5,8,0,101.898
120,10372,M9B,196.0,1.0,908,88.5,3,0,57.793
120,10328,N0B,196.0,2.0,872,84.0,2,1,65.281
120,10379,M3B,196.0,2.0,867,83.83333333333333,2,1,85.419
120,10876,M6C,196.0,1.0,927,92.66666666666667,1,1,78.836
120,10327,M2L,196.0,2.0,903,88.83333333333333,2,1,82.967
120,11057,L3P,196.0,2.0,917,88.5,2,1,106.86
120,10727,N3C,196.0,2.0,883,81.33333333333333,1,0,48.89
120,10591,L6R,196.0,1.0,867,86.66666666666667,1,1,73.063
120,10871,L7M,196.0,2.0,877,86.33333333333333,2,1,21.165
120,10740,K9V,196.0,4.0,833,83.0,4,1,203.459
120,10217,M9N,196.0,2.0,942,93.83333333333333,2,1,69.301
120,10911,L0L,196.0,2.0,935,92.83333333333333,1,0,172.542
120,10528,N1C,196.0,3.0,847,83.83333333333333,3,1,44.127
120,11021,L9T,196.0,2.0,883,86.5,2,1,36.861
119,11024,L9G,196.0,1.0,937,93.66666666666667,1,1,15.182
120,11020,L8J,196.0,1.0,883,86.83333333333333,1,1,27.328
120,11040,M6L,196.0,9.0,892,84.5,9,1,71.603
120,10602,L1R,196.0,3.0,832,83.16666666666667,3,1,137.638
120,10293,L2H,196.0,2.0,883,87.16666666666667,2,1,85.419
120,10937,L4C,196.0,4.0,830,83.0,4,1,96.7
120,10853,L9T,196.0,3.0,858,85.83333333333333,3,1,36.861
120,10697,L6B,196.0,3.0,845,84.5,3,1,108.953
120,10670,L4A,196.0,6.0,885,89.0,6,1,123.555
120,10602,L1N,196.0,4.0,887,87.5,4,1,122.939
119,10248,L6Y,196.0,6.0,885,87.33333333333333,4,0,56.209
119,10763,P5N,196.0,2.0,867,85.8,2,1,885.4
120,10731,L9G,196.0,3.0,817,81.66666666666667,1,0,15.182
120,10841,M4L,196.0,4.0,880,86.83333333333333,4,1,73.8
120,10338,L6C,196.0,2.0,848,84.83333333333333,2,1,101.898
120,10515,L7R,196.0,1.0,898,86.16666666666667,1,1,17.022
120,10250,N7S,196.0,3.0,895,87.66666666666667,3,1,221.344
120,10851,L5L,196.0,4.0,873,80.5,4,1,43.375
120,10356,L7L,196.0,6.0,860,81.0,2,0,21.04
120,10316,L5M,196.0,1.0,982,97.83333333333333,6,0,44.036
119,10432,L3S,196.0,1.0,908,90.66666666666667,1,1,105.996
120,10335,L0S,196.0,3.0,898,88.16666666666667,3,1,79.807
120,10540,L1Y,196.0,3.0,878,87.33333333333333,3,1,129.524
119,10738,L6H,196.0,6.0,875,84.83333333333333,1,0,35.959
119,10476,L9C,196.0,2.0,928,87.0,2,1,6.603
120,10429,L6H,196.0,1.0,880,88.0,1,1,35.959
120,10363,M3A,196.0,3.0,927,92.66666666666667,3,1,84.442
120,10363,,196.0,5.0,875,87.5,5,1,
120,10215,L9B,196.0,2.0,877,84.0,2,1,14.672
120,11120,M1V,196.0,7.0,873,87.33333333333333,7,1,94.52
120,10607,K2S,196.0,2.0,907,88.33333333333333,2,1,446.701
119,10674,L8J,196.0,2.0,905,86.83333333333333,6,0,27.328
120,10217,M9N,196.0,4.0,868,86.83333333333333,4,1,69.301
120,10660,L1K,196.0,1.0,837,83.66666666666667,1,1,134.016
120,10649,L5V,196.0,2.0,873,86.5,2,1,48.809
120,10810,L6X,196.0,2.0,870,84.83333333333333,2,1,58.985
120,10407,L9Y,196.0,3.0,902,92.0,3,1,182.004
120,10282,L6X,196.0,2.0,925,91.33333333333333,2,1,58.985
120,10697,L6B,196.0,1.0,853,85.0,1,1,108.953
120,10213,N3T,196.0,2.0,867,86.66666666666667,2,1,30.2
120,10525,L5R,196.0,1.0,933,93.33333333333333,1,1,50.5
120,10725,L5M,196.0,5.0,880,83.5,5,1,44.036
119,10971,K1B,196.0,4.0,918,89.33333333333333,4,1,523.72
120,10837,M9V,196.0,3.0,880,86.5,3,1,68.4
120,10429,L6H,196.0,3.0,843,84.33333333333333,3,1,35.959
120,11236,L5M,196.0,2.0,897,87.33333333333333,2,1,44.036
120,11179,M9P,196.0,4.0,897,88.0,4,1,66.487
120,10250,N0N,196.0,1.0,850,83.0,1,1,202.893
120,10215,L9A,196.0,1.0,848,84.83333333333333,1,1,8.381
119,10649,L5V,196.0,3.0,880,87.66666666666667,3,1,48.809
120,10930,L3X,196.0,1.0,857,85.66666666666667,1,1,117.408
120,11188,N2A,196.0,1.0,870,86.33333333333333,1,1,61.8
120,10602,L1N,196.0,3.0,882,84.66666666666667,3,1,122.939
120,10672,L4J,196.0,3.0,905,90.33333333333333,3,1,89.771
120,10490,M3N,196.0,2.0,835,83.5,2,1,73.962
120,10358,,196.0,4.0,872,85.66666666666667,4,1,
120,11245,L8W,196.0,1.0,878,84.33333333333333,5,0,18.526
120,10400,L4W,196.0,1.0,915,89.83333333333333,1,1,54.851
120,10813,L7N,196.0,1.0,878,87.5,1,1,19.322
119,10568,L4K,196.0,2.0,913,83.33333333333333,3,0,85.135
120,11236,L6Y,196.0,1.0,878,86.16666666666667,4,0,56.209
119,10873,M1X,196.0,2.0,890,88.33333333333333,2,1,101.118
120,11000,L6C,196.0,3.0,912,88.16666666666667,3,1,101.898
119,10853,L9T,196.0,2.0,882,88.16666666666667,2,1,36.861
120,10410,L5J,196.0,2.0,870,85.5,2,1,38.646
120,10565,N9E,196.0,3.0,852,84.83333333333333,3,1,302.166
120,10877,L4W,196.0,2.0,915,90.0,2,1,54.851
120,10302,L6M,196.0,2.0,900,89.5,2,1,29.132
120,10567,L3R,196.0,2.0,877,86.33333333333333,2,1,101.274
120,10598,L9C,196.0,1.0,958,95.0,4,0,6.603
120,10461,K2B,196.0,3.0,958,89.66666666666667,3,1,506.394
120,10301,L5J,196.0,1.0,878,85.33333333333333,1,1,38.646
120,10698,M4H,196.0,3.0,883,87.16666666666667,3,1,79.466
119,10810,L7A,196.0,5.0,867,84.0,5,1,63.292
120,10725,L5M,196.0,8.0,903,88.83333333333333,8,1,44.036
119,10617,M1J,196.0,7.0,905,87.0,7,1,95.799
120,10230,N2G,196.0,3.0,890,87.66666666666667,3,1,2.2
119,10523,N5R,196.0,1.0,897,88.33333333333333,1,1,138.978
120,10801,M2J,196.0,2.0,848,84.33333333333333,2,1,85.743
120,10562,L9W,196.0,1.0,878,85.33333333333333,1,1,120.785
120,11000,L6C,196.0,1.0,912,88.5,1,1,101.898
120,10764,L0R,196.0,1.0,895,91.66666666666667,1,1,58.645
120,11066,N7M,196.0,2.0,877,84.0,2,1,227.599
120,11005,L5G,196.0,4.0,902,90.16666666666667,4,1,48.897
120,10281,P6B,196.0,2.0,893,87.0,2,1,739.287
120,10848,L7M,196.0,3.0,927,91.33333333333333,3,1,21.165
120,10711,L9W,196.0,3.0,913,87.83333333333333,3,1,120.785
120,10528,N1L,196.0,2.0,855,85.5,2,1,43.773
120,10316,L5R,196.0,2.0,913,89.66666666666667,2,1,50.5
120,11245,L8W,196.0,1.0,885,88.5,1,1,18.526
119,10853,L9T,196.0,2.0,847,83.33333333333333,2,1,36.861
119,11049,L8G,196.0,2.0,947,94.5,3,0,30.775
120,10719,M2L,196.0,1.0,895,82.33333333333333,1,1,82.967
120,11236,L5M,196.0,3.0,900,86.16666666666667,3,1,44.036
120,11000,L3P,196.0,5.0,903,89.33333333333333,2,0,106.86
120,10874,M4G,196.0,1.0,897,84.66666666666667,3,0,79.543
120,10412,L1E,196.0,2.0,928,91.66666666666667,2,1,132.428
120,10672,L4S,196.0,1.0,850,86.4,1,1,104.717
120,10294,L0N,196.0,1.0,900,87.83333333333333,1,1,101.223
